CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12434,85,2,806.14,1,Segmen 2 (peringkat belanja 2)
12435,80,2,7829.89,0,Segmen 1 (peringkat belanja 1)
12436,100,1,509.01,1,Segmen 2 (peringkat belanja 2)
12437,2,18,4951.41,0,Segmen 1 (peringkat belanja 1)
12438,15,2,2906.85,0,Segmen 1 (peringkat belanja 1)
12441,367,1,173.55,1,Segmen 2 (peringkat belanja 2)
12442,4,1,172.06,1,Segmen 2 (peringkat belanja 2)
12444,22,5,5005.46,0,Segmen 1 (peringkat belanja 1)
12445,23,1,133.4,1,Segmen 2 (peringkat belanja 2)
12446,58,1,1002.3100000000001,1,Segmen 2 (peringkat belanja 2)
12447,244,1,476.49,1,Segmen 2 (peringkat belanja 2)
12448,45,1,449.45,1,Segmen 2 (peringkat belanja 2)
12449,23,4,4067.29,0,Segmen 1 (peringkat belanja 1)
12450,157,2,197.88,1,Segmen 2 (peringkat belanja 2)
12451,11,5,9035.52,0,Segmen 1 (peringkat belanja 1)
12452,17,2,430.57,1,Segmen 2 (peringkat belanja 2)
12453,135,1,707.09,1,Segmen 2 (peringkat belanja 2)
12454,57,1,3528.34,1,Segmen 2 (peringkat belanja 2)
12455,74,6,2466.86,0,Segmen 1 (peringkat belanja 1)
12456,45,3,3181.04,0,Segmen 1 (peringkat belanja 1)
12457,67,7,2363.23,0,Segmen 1 (peringkat belanja 1)
12458,72,2,947.4,1,Segmen 2 (peringkat belanja 2)
12461,95,2,826.88,1,Segmen 2 (peringkat belanja 2)
12462,19,2,1189.59,0,Segmen 1 (peringkat belanja 1)
12463,54,4,1344.78,0,Segmen 1 (peringkat belanja 1)
12464,11,8,1212.05,0,Segmen 1 (peringkat belanja 1)
12465,18,2,742.1899999999999,1,Segmen 2 (peringkat belanja 2)
12468,188,2,729.5400000000001,1,Segmen 2 (peringkat belanja 2)
12471,3,30,19788.65,0,Segmen 1 (peringkat belanja 1)
12472,33,7,6572.11,0,Segmen 1 (peringkat belanja 1)
12473,30,5,3928.0499999999997,0,Segmen 1 (peringkat belanja 1)
12474,18,18,7324.09,0,Segmen 1 (peringkat belanja 1)
12475,54,1,723.38,1,Segmen 2 (peringkat belanja 2)
12476,16,11,6816.42,0,Segmen 1 (peringkat belanja 1)
12477,23,6,13219.74,0,Segmen 1 (peringkat belanja 1)
12478,4,1,680.99,1,Segmen 2 (peringkat belanja 2)
12479,12,1,527.2,1,Segmen 2 (peringkat belanja 2)
12480,29,4,3281.63,0,Segmen 1 (peringkat belanja 1)
12481,23,10,5579.82,0,Segmen 1 (peringkat belanja 1)
12483,18,8,2484.98,0,Segmen 1 (peringkat belanja 1)
12484,33,6,4527.32,0,Segmen 1 (peringkat belanja 1)
12488,10,3,1298.66,0,Segmen 1 (peringkat belanja 1)
12489,337,1,334.93,1,Segmen 2 (peringkat belanja 2)
12490,6,10,5417.93,0,Segmen 1 (peringkat belanja 1)
12491,39,1,460.40000000000003,1,Segmen 2 (peringkat belanja 2)
12492,64,2,263.21000000000004,1,Segmen 2 (peringkat belanja 2)
12493,166,2,433.74,1,Segmen 2 (peringkat belanja 2)
12494,16,7,1246.1000000000001,0,Segmen 1 (peringkat belanja 1)
12497,82,1,1043.1,1,Segmen 2 (peringkat belanja 2)
12498,22,3,403.70000000000005,1,Segmen 2 (peringkat belanja 2)
12500,24,11,4257.82,0,Segmen 1 (peringkat belanja 1)
12501,337,1,2169.39,1,Segmen 2 (peringkat belanja 2)
12502,96,5,3723.87,0,Segmen 1 (peringkat belanja 1)
12504,19,2,482.04999999999995,1,Segmen 2 (peringkat belanja 2)
12506,233,1,73.5,1,Segmen 2 (peringkat belanja 2)
12507,135,3,1304.81,1,Segmen 2 (peringkat belanja 2)
12508,27,2,397.88,1,Segmen 2 (peringkat belanja 2)
12509,285,1,176.5,1,Segmen 2 (peringkat belanja 2)
12510,143,2,982.5699999999999,1,Segmen 2 (peringkat belanja 2)
12512,67,2,132.18,1,Segmen 2 (peringkat belanja 2)
12513,113,1,612.29,1,Segmen 2 (peringkat belanja 2)
12514,268,1,1017.68,1,Segmen 2 (peringkat belanja 2)
12515,354,1,383.7,1,Segmen 2 (peringkat belanja 2)
12516,78,2,1312.06,1,Segmen 2 (peringkat belanja 2)
12517,29,5,2481.6,0,Segmen 1 (peringkat belanja 1)
12518,1,5,2056.89,0,Segmen 1 (peringkat belanja 1)
12519,64,1,330.84,1,Segmen 2 (peringkat belanja 2)
12520,80,5,2634.26,0,Segmen 1 (peringkat belanja 1)
12521,143,1,599.68,1,Segmen 2 (peringkat belanja 2)
12522,40,2,192.72,1,Segmen 2 (peringkat belanja 2)
12523,20,11,1789.77,0,Segmen 1 (peringkat belanja 1)
12524,10,8,4485.72,0,Segmen 1 (peringkat belanja 1)
12526,1,3,1316.66,0,Segmen 1 (peringkat belanja 1)
12527,82,3,348.71000000000004,1,Segmen 2 (peringkat belanja 2)
12528,10,6,1933.48,0,Segmen 1 (peringkat belanja 1)
12530,60,4,1662.28,0,Segmen 1 (peringkat belanja 1)
12531,15,1,125.22,1,Segmen 2 (peringkat belanja 2)
12532,31,1,349.83000000000004,1,Segmen 2 (peringkat belanja 2)
12534,131,1,1089.18,1,Segmen 2 (peringkat belanja 2)
12535,92,2,716.35,1,Segmen 2 (peringkat belanja 2)
12536,44,3,12601.830000000002,0,Segmen 1 (peringkat belanja 1)
12538,30,1,363.95,1,Segmen 2 (peringkat belanja 2)
12539,23,4,5568.35,0,Segmen 1 (peringkat belanja 1)
12540,20,17,13400.24,0,Segmen 1 (peringkat belanja 1)
12541,30,3,981.18,0,Segmen 1 (peringkat belanja 1)
12544,37,1,372.7,1,Segmen 2 (peringkat belanja 2)
12545,76,2,1000.39,1,Segmen 2 (peringkat belanja 2)
12546,47,2,1161.5,1,Segmen 2 (peringkat belanja 2)
12547,198,2,207.79999999999998,1,Segmen 2 (peringkat belanja 2)
12548,167,1,95.19999999999999,1,Segmen 2 (peringkat belanja 2)
12550,80,1,964.83,1,Segmen 2 (peringkat belanja 2)
12551,358,1,168.0,1,Segmen 2 (peringkat belanja 2)
12552,39,2,437.82,1,Segmen 2 (peringkat belanja 2)
12553,9,10,3692.28,0,Segmen 1 (peringkat belanja 1)
12556,51,2,599.56,1,Segmen 2 (peringkat belanja 2)
12557,17,5,11990.960000000001,0,Segmen 1 (peringkat belanja 1)
12558,8,1,269.96,1,Segmen 2 (peringkat belanja 2)
12559,311,2,561.71,1,Segmen 2 (peringkat belanja 2)
12560,6,3,2134.01,0,Segmen 1 (peringkat belanja 1)
12561,303,1,238.85,1,Segmen 2 (peringkat belanja 2)
12562,9,7,3781.7400000000002,0,Segmen 1 (peringkat belanja 1)
12564,262,1,456.9,1,Segmen 2 (peringkat belanja 2)
12565,289,1,145.92,1,Segmen 2 (peringkat belanja 2)
12566,87,1,351.65,1,Segmen 2 (peringkat belanja 2)
12567,23,10,9401.28,0,Segmen 1 (peringkat belanja 1)
12569,3,32,4124.69,0,Segmen 1 (peringkat belanja 1)
12571,40,2,519.61,1,Segmen 2 (peringkat belanja 2)
12572,9,2,1020.42,0,Segmen 1 (peringkat belanja 1)
12573,228,1,160.54000000000002,1,Segmen 2 (peringkat belanja 2)
12574,316,1,218.45,1,Segmen 2 (peringkat belanja 2)
12576,36,5,1315.83,0,Segmen 1 (peringkat belanja 1)
12577,36,3,626.6,1,Segmen 2 (peringkat belanja 2)
12578,22,2,2794.51,0,Segmen 1 (peringkat belanja 1)
12579,79,1,440.42,1,Segmen 2 (peringkat belanja 2)
12580,247,1,415.7,1,Segmen 2 (peringkat belanja 2)
12581,40,1,197.71,1,Segmen 2 (peringkat belanja 2)
12582,239,2,511.36,1,Segmen 2 (peringkat belanja 2)
12583,3,15,7281.38,0,Segmen 1 (peringkat belanja 1)
12584,4,9,2338.15,0,Segmen 1 (peringkat belanja 1)
12585,235,2,2040.1,1,Segmen 2 (peringkat belanja 2)
12586,18,1,196.94000000000003,1,Segmen 2 (peringkat belanja 2)
12587,8,1,144.0,1,Segmen 2 (peringkat belanja 2)
12588,40,1,214.89999999999998,1,Segmen 2 (peringkat belanja 2)
12589,29,2,646.68,1,Segmen 2 (peringkat belanja 2)
12590,212,2,9864.26,0,Segmen 1 (peringkat belanja 1)
12591,318,1,452.84999999999997,1,Segmen 2 (peringkat belanja 2)
12592,93,2,437.6,1,Segmen 2 (peringkat belanja 2)
12593,109,3,418.09999999999997,1,Segmen 2 (peringkat belanja 2)
12594,38,10,3338.2200000000003,0,Segmen 1 (peringkat belanja 1)
12596,52,2,618.27,1,Segmen 2 (peringkat belanja 2)
12597,20,4,3811.22,0,Segmen 1 (peringkat belanja 1)
12598,10,8,3023.08,0,Segmen 1 (peringkat belanja 1)
12599,30,7,1032.58,0,Segmen 1 (peringkat belanja 1)
12600,29,10,2599.04,0,Segmen 1 (peringkat belanja 1)
12601,190,5,577.0600000000001,1,Segmen 2 (peringkat belanja 2)
12602,59,1,153.12,1,Segmen 2 (peringkat belanja 2)
12603,22,1,739.1999999999999,1,Segmen 2 (peringkat belanja 2)
12604,80,2,254.18,1,Segmen 2 (peringkat belanja 2)
12607,61,1,1579.51,1,Segmen 2 (peringkat belanja 2)
12609,79,3,1126.85,1,Segmen 2 (peringkat belanja 2)
12610,23,5,2099.54,0,Segmen 1 (peringkat belanja 1)
12611,53,1,1193.32,1,Segmen 2 (peringkat belanja 2)
12612,75,1,704.0400000000001,1,Segmen 2 (peringkat belanja 2)
12613,58,5,3344.38,0,Segmen 1 (peringkat belanja 1)
12614,278,1,315.6,1,Segmen 2 (peringkat belanja 2)
12615,3,4,2291.19,0,Segmen 1 (peringkat belanja 1)
12616,96,2,713.3,1,Segmen 2 (peringkat belanja 2)
12617,30,1,352.98,1,Segmen 2 (peringkat belanja 2)
12618,22,1,177.31,1,Segmen 2 (peringkat belanja 2)
12619,17,9,3641.24,0,Segmen 1 (peringkat belanja 1)
12620,15,3,1339.41,0,Segmen 1 (peringkat belanja 1)
12621,2,20,13689.67,0,Segmen 1 (peringkat belanja 1)
12622,233,1,180.1,1,Segmen 2 (peringkat belanja 2)
12623,277,1,305.1,1,Segmen 2 (peringkat belanja 2)
12624,107,2,641.13,1,Segmen 2 (peringkat belanja 2)
12625,212,2,2683.82,1,Segmen 2 (peringkat belanja 2)
12626,24,9,6620.48,0,Segmen 1 (peringkat belanja 1)
12627,11,7,4478.53,0,Segmen 1 (peringkat belanja 1)
12628,5,3,786.46,0,Segmen 1 (peringkat belanja 1)
12630,10,2,1270.88,0,Segmen 1 (peringkat belanja 1)
12631,58,1,640.5,1,Segmen 2 (peringkat belanja 2)
12633,59,4,2163.98,0,Segmen 1 (peringkat belanja 1)
12635,90,2,1689.18,1,Segmen 2 (peringkat belanja 2)
12637,68,8,6002.9,0,Segmen 1 (peringkat belanja 1)
12638,34,1,671.69,1,Segmen 2 (peringkat belanja 2)
12639,239,1,486.1,1,Segmen 2 (peringkat belanja 2)
12640,24,3,1174.58,0,Segmen 1 (peringkat belanja 1)
12641,116,1,185.9,1,Segmen 2 (peringkat belanja 2)
12642,26,3,1013.26,0,Segmen 1 (peringkat belanja 1)
12643,129,6,3344.64,0,Segmen 1 (peringkat belanja 1)
12644,130,1,477.91,1,Segmen 2 (peringkat belanja 2)
12645,34,4,1775.18,0,Segmen 1 (peringkat belanja 1)
12646,5,2,1346.97,0,Segmen 1 (peringkat belanja 1)
12647,23,12,3722.82,0,Segmen 1 (peringkat belanja 1)
12648,155,1,318.05,1,Segmen 2 (peringkat belanja 2)
12649,108,3,623.51,1,Segmen 2 (peringkat belanja 2)
12650,4,1,314.44,1,Segmen 2 (peringkat belanja 2)
12651,335,1,114.0,1,Segmen 2 (peringkat belanja 2)
12652,332,1,919.98,1,Segmen 2 (peringkat belanja 2)
12653,149,2,2209.85,1,Segmen 2 (peringkat belanja 2)
12654,11,5,601.98,0,Segmen 1 (peringkat belanja 1)
12656,18,5,4051.17,0,Segmen 1 (peringkat belanja 1)
12657,12,4,1643.18,0,Segmen 1 (peringkat belanja 1)
12658,19,1,686.05,1,Segmen 2 (peringkat belanja 2)
12659,30,1,91.68,1,Segmen 2 (peringkat belanja 2)
12660,12,1,245.1,1,Segmen 2 (peringkat belanja 2)
12662,1,11,3849.78,0,Segmen 1 (peringkat belanja 1)
12664,9,9,4881.88,0,Segmen 1 (peringkat belanja 1)
12665,325,1,63.0,1,Segmen 2 (peringkat belanja 2)
12667,59,1,620.13,1,Segmen 2 (peringkat belanja 2)
12668,12,4,3807.15,0,Segmen 1 (peringkat belanja 1)
12669,151,3,2744.0299999999997,1,Segmen 2 (peringkat belanja 2)
12670,11,5,2996.05,0,Segmen 1 (peringkat belanja 1)
12672,330,1,225.89999999999998,1,Segmen 2 (peringkat belanja 2)
12673,6,2,610.52,0,Segmen 1 (peringkat belanja 1)
12674,39,4,1970.6,0,Segmen 1 (peringkat belanja 1)
12676,25,6,1331.39,0,Segmen 1 (peringkat belanja 1)
12678,43,12,17628.46,0,Segmen 1 (peringkat belanja 1)
12679,59,4,1113.02,0,Segmen 1 (peringkat belanja 1)
12680,1,4,862.81,0,Segmen 1 (peringkat belanja 1)
12681,15,22,13787.54,0,Segmen 1 (peringkat belanja 1)
12682,4,31,12279.82,0,Segmen 1 (peringkat belanja 1)
12683,5,15,8476.57,0,Segmen 1 (peringkat belanja 1)
12684,8,7,2283.63,0,Segmen 1 (peringkat belanja 1)
12685,29,6,2863.08,0,Segmen 1 (peringkat belanja 1)
12686,372,1,89.14,1,Segmen 2 (peringkat belanja 2)
12688,114,1,4873.8099999999995,1,Segmen 2 (peringkat belanja 2)
12689,26,2,1247.61,1,Segmen 2 (peringkat belanja 2)
12690,206,1,389.01,1,Segmen 2 (peringkat belanja 2)
12691,29,6,1035.8,0,Segmen 1 (peringkat belanja 1)
12693,128,4,855.91,1,Segmen 2 (peringkat belanja 2)
12694,71,2,869.67,1,Segmen 2 (peringkat belanja 2)
12695,8,4,582.1,0,Segmen 1 (peringkat belanja 1)
12697,29,3,957.59,0,Segmen 1 (peringkat belanja 1)
12700,8,4,4939.99,0,Segmen 1 (peringkat belanja 1)
12701,80,2,797.71,1,Segmen 2 (peringkat belanja 2)
12702,20,1,219.0,1,Segmen 2 (peringkat belanja 2)
12703,72,1,283.55,1,Segmen 2 (peringkat belanja 2)
12704,8,8,2340.84,0,Segmen 1 (peringkat belanja 1)
12705,16,9,6868.29,0,Segmen 1 (peringkat belanja 1)
12707,292,1,603.42,1,Segmen 2 (peringkat belanja 2)
12708,30,10,2712.91,0,Segmen 1 (peringkat belanja 1)
12709,16,15,9706.52,0,Segmen 1 (peringkat belanja 1)
12710,97,3,1149.02,1,Segmen 2 (peringkat belanja 2)
12712,29,13,4396.13,0,Segmen 1 (peringkat belanja 1)
12713,1,1,848.55,0,Segmen 1 (peringkat belanja 1)
12714,10,5,4708.86,0,Segmen 1 (peringkat belanja 1)
12715,107,1,343.36,1,Segmen 2 (peringkat belanja 2)
12716,4,2,1053.49,0,Segmen 1 (peringkat belanja 1)
12717,152,2,1030.98,1,Segmen 2 (peringkat belanja 2)
12718,72,1,238.25,1,Segmen 2 (peringkat belanja 2)
12719,6,2,644.95,0,Segmen 1 (peringkat belanja 1)
12720,3,25,5781.73,0,Segmen 1 (peringkat belanja 1)
12721,32,6,2656.13,0,Segmen 1 (peringkat belanja 1)
12722,86,4,997.63,1,Segmen 2 (peringkat belanja 2)
12723,4,5,725.07,0,Segmen 1 (peringkat belanja 1)
12724,6,4,1031.41,0,Segmen 1 (peringkat belanja 1)
12725,372,1,427.8,1,Segmen 2 (peringkat belanja 2)
12726,29,7,2609.1,0,Segmen 1 (peringkat belanja 1)
12727,11,7,3980.7,0,Segmen 1 (peringkat belanja 1)
12728,72,4,836.33,1,Segmen 2 (peringkat belanja 2)
12729,114,1,453.01,1,Segmen 2 (peringkat belanja 2)
12731,24,12,18895.91,0,Segmen 1 (peringkat belanja 1)
12732,180,1,236.26000000000002,1,Segmen 2 (peringkat belanja 2)
12733,235,1,383.95,1,Segmen 2 (peringkat belanja 2)
12734,353,1,110.39999999999999,1,Segmen 2 (peringkat belanja 2)
12735,316,2,779.5699999999999,1,Segmen 2 (peringkat belanja 2)
12736,333,1,234.0,1,Segmen 2 (peringkat belanja 2)
12738,373,1,155.35,1,Segmen 2 (peringkat belanja 2)
12739,79,2,1013.04,1,Segmen 2 (peringkat belanja 2)
12740,64,1,427.6,1,Segmen 2 (peringkat belanja 2)
12743,135,2,540.13,1,Segmen 2 (peringkat belanja 2)
12744,52,7,21279.29,0,Segmen 1 (peringkat belanja 1)
12747,3,11,4196.01,0,Segmen 1 (peringkat belanja 1)
12748,1,209,33053.19,0,Segmen 1 (peringkat belanja 1)
12749,4,5,4090.88,0,Segmen 1 (peringkat belanja 1)
12750,129,1,275.88,1,Segmen 2 (peringkat belanja 2)
12752,82,1,4366.78,1,Segmen 2 (peringkat belanja 2)
12753,23,6,21429.39,0,Segmen 1 (peringkat belanja 1)
12754,236,3,3010.74,1,Segmen 2 (peringkat belanja 2)
12755,281,2,3811.95,1,Segmen 2 (peringkat belanja 2)
12756,87,1,112.07999999999998,1,Segmen 2 (peringkat belanja 2)
12757,16,13,7834.650000000001,0,Segmen 1 (peringkat belanja 1)
12758,117,2,2791.59,1,Segmen 2 (peringkat belanja 2)
12759,53,3,1531.44,0,Segmen 1 (peringkat belanja 1)
12762,8,2,1898.52,0,Segmen 1 (peringkat belanja 1)
12763,139,2,494.08,1,Segmen 2 (peringkat belanja 2)
12764,317,1,1693.88,1,Segmen 2 (peringkat belanja 2)
12766,4,7,6989.63,0,Segmen 1 (peringkat belanja 1)
12769,239,1,1143.6,1,Segmen 2 (peringkat belanja 2)
12770,211,1,1351.45,1,Segmen 2 (peringkat belanja 2)
12772,60,1,892.47,1,Segmen 2 (peringkat belanja 2)
12775,18,5,1386.04,0,Segmen 1 (peringkat belanja 1)
12778,20,6,822.23,0,Segmen 1 (peringkat belanja 1)
12779,38,8,3981.36,0,Segmen 1 (peringkat belanja 1)
12781,64,2,826.74,1,Segmen 2 (peringkat belanja 2)
12782,5,5,2330.92,0,Segmen 1 (peringkat belanja 1)
12783,3,6,2225.91,0,Segmen 1 (peringkat belanja 1)
12784,10,2,532.8199999999999,1,Segmen 2 (peringkat belanja 2)
12785,365,1,311.95,1,Segmen 2 (peringkat belanja 2)
12787,10,3,463.66,0,Segmen 1 (peringkat belanja 1)
12789,66,1,91.85,1,Segmen 2 (peringkat belanja 2)
12790,193,1,324.92,1,Segmen 2 (peringkat belanja 2)
12791,374,1,192.60000000000002,1,Segmen 2 (peringkat belanja 2)
12792,257,1,400.53999999999996,1,Segmen 2 (peringkat belanja 2)
12793,335,2,545.48,1,Segmen 2 (peringkat belanja 2)
12794,54,2,860.41,1,Segmen 2 (peringkat belanja 2)
12795,19,1,430.48,1,Segmen 2 (peringkat belanja 2)
12797,366,1,254.03,1,Segmen 2 (peringkat belanja 2)
12798,11,3,6977.04,0,Segmen 1 (peringkat belanja 1)
12802,187,1,427.58,1,Segmen 2 (peringkat belanja 2)
12808,37,3,483.65000000000003,1,Segmen 2 (peringkat belanja 2)
12809,178,1,489.31,1,Segmen 2 (peringkat belanja 2)
12811,261,3,514.85,1,Segmen 2 (peringkat belanja 2)
12812,45,1,229.64000000000001,1,Segmen 2 (peringkat belanja 2)
12814,102,1,125.92,1,Segmen 2 (peringkat belanja 2)
12815,148,2,1063.46,1,Segmen 2 (peringkat belanja 2)
12816,96,2,572.2,1,Segmen 2 (peringkat belanja 2)
12817,282,1,166.04,1,Segmen 2 (peringkat belanja 2)
12818,262,1,1542.08,1,Segmen 2 (peringkat belanja 2)
12820,4,4,942.34,0,Segmen 1 (peringkat belanja 1)
12821,215,1,92.72,1,Segmen 2 (peringkat belanja 2)
12822,71,2,948.88,1,Segmen 2 (peringkat belanja 2)
12823,75,5,1759.5,0,Segmen 1 (peringkat belanja 1)
12824,60,1,397.12,1,Segmen 2 (peringkat belanja 2)
12826,3,7,1474.72,0,Segmen 1 (peringkat belanja 1)
12827,6,3,430.15000000000003,0,Segmen 1 (peringkat belanja 1)
12828,3,6,1018.71,0,Segmen 1 (peringkat belanja 1)
12829,337,2,293.0,1,Segmen 2 (peringkat belanja 2)
12830,38,6,6814.64,0,Segmen 1 (peringkat belanja 1)
12831,263,1,215.05,1,Segmen 2 (peringkat belanja 2)
12832,33,2,383.03,1,Segmen 2 (peringkat belanja 2)
12833,146,1,417.38,1,Segmen 2 (peringkat belanja 2)
12834,283,1,312.38,1,Segmen 2 (peringkat belanja 2)
12836,60,4,2610.36,0,Segmen 1 (peringkat belanja 1)
12837,174,1,134.1,1,Segmen 2 (peringkat belanja 2)
12838,34,2,671.95,1,Segmen 2 (peringkat belanja 2)
12839,3,14,5591.42,0,Segmen 1 (peringkat belanja 1)
12840,144,4,2726.77,0,Segmen 1 (peringkat belanja 1)
12841,5,25,3991.58,0,Segmen 1 (peringkat belanja 1)
12842,71,2,1118.99,1,Segmen 2 (peringkat belanja 2)
12843,66,8,1702.26,0,Segmen 1 (peringkat belanja 1)
12844,30,2,325.96000000000004,1,Segmen 2 (peringkat belanja 2)
12845,268,4,354.09,1,Segmen 2 (peringkat belanja 2)
12847,23,1,843.64,1,Segmen 2 (peringkat belanja 2)
12849,32,2,1010.29,1,Segmen 2 (peringkat belanja 2)
12851,97,1,131.81,1,Segmen 2 (peringkat belanja 2)
12852,295,1,311.55,1,Segmen 2 (peringkat belanja 2)
12853,135,6,1957.1000000000001,0,Segmen 1 (peringkat belanja 1)
12854,79,3,1316.25,1,Segmen 2 (peringkat belanja 2)
12855,373,1,38.1,1,Segmen 2 (peringkat belanja 2)
12856,8,6,2170.78,0,Segmen 1 (peringkat belanja 1)
12857,211,2,1106.4,1,Segmen 2 (peringkat belanja 2)
12863,53,1,521.2,1,Segmen 2 (peringkat belanja 2)
12864,139,1,147.12,1,Segmen 2 (peringkat belanja 2)
12865,27,2,1568.23,0,Segmen 1 (peringkat belanja 1)
12866,284,1,559.12,1,Segmen 2 (peringkat belanja 2)
12867,27,7,4009.34,0,Segmen 1 (peringkat belanja 1)
12868,186,6,1607.0600000000002,0,Segmen 1 (peringkat belanja 1)
12871,85,2,380.64,1,Segmen 2 (peringkat belanja 2)
12872,327,2,599.97,1,Segmen 2 (peringkat belanja 2)
12873,283,1,374.0,1,Segmen 2 (peringkat belanja 2)
12875,144,2,343.2300000000001,1,Segmen 2 (peringkat belanja 2)
12876,58,2,2218.02,1,Segmen 2 (peringkat belanja 2)
12877,4,12,1535.77,0,Segmen 1 (peringkat belanja 1)
12878,237,2,854.99,1,Segmen 2 (peringkat belanja 2)
12879,45,3,573.22,1,Segmen 2 (peringkat belanja 2)
12881,276,1,298.0,1,Segmen 2 (peringkat belanja 2)
12882,10,2,1463.04,0,Segmen 1 (peringkat belanja 1)
12883,25,4,703.47,0,Segmen 1 (peringkat belanja 1)
